도착지,고속버스,시외버스,기차
부산광역시,"동서울종합터미널,서울고속버스터미널","서울남부터미널, 동서울종합터미널","서울역,용산역,영등포역,수서역"
대구광역시,,,"서울역,용산역,영등포역,수서역"
인천광역시,,동서울종합터미널,
광주광역시,"동서울종합터미널,센트럴시티터미널",서울남부터미널,"서울역,용산역"
대전광역시,"동서울종합터미널,센트럴시티터미널,서울고속버스터미널","서울남부터미널,동서울종합터미널","서울역,용산역,영등포역"
울산광역시,서울고속버스터미널,동서울종합터미널,"서울역,용산역,영등포역,수서역"
경기도,서울고속버스터미널,"서울남부터미널,동서울종합터미널","서울역,용산역,청량리역"
강원도,"동서울종합터미널,서울고속버스터미널","서울남부터미널,동서울종합터미널","서울역,청량리역,상봉역"
충청북도,"동서울종합터미널,센트럴시티터미널,서울고속버스터미널","서울남부터미널,동서울종합터미널","서울역,용산역,영등포역,청량리역,수서역"
충청남도,"센트럴시티터미널,서울고속버스터미널","서울남부터미널,동서울종합터미널","서울역,용산역,영등포역,수서역"
전라북도,"동서울종합터미널,센트럴시티터미널","서울남부터미널,동서울종합터미널","서울역,용산역,수서역"
전라남도,"동서울종합터미널,센트럴시티터미널","서울남부터미널,센트럴시티터미널,동서울종합터미널","서울역,용산역,수서역"
경상북도,서울고속버스터미널,"서울남부터미널,동서울종합터미널","서울역,용산역,영등포역,청량리역,수서역"
경상남도,"동서울종합터미널,서울남부터미널,서울고속버스터미널","서울남부터미널,동서울종합터미널","서울역,용산역,영등포역,수서역"
세종특별자치시,서울고속버스터미널,"서울남부터미널,동서울종합터미널",
